,Dutch (nl),Positive,Negative
2879,bedekt,0,0
2880,aan het bedekken,0,0
2881,verborgen,0,0
2882,begeren,0,1
2883,koe,0,0
2884,lafaard,0,1
2885,lafheid,0,1
2886,laf,0,1
2887,cowboy,0,0
2888,koeienhuid,0,0
2889,monnikspij,0,0
2890,collega,0,0
2891,bedeesd,0,0
2892,coyote,0,0
2893,krab,0,0
2894,prikkelbaar,0,1
2895,barst,0,1
2896,gebarsten,0,1
2897,kraker,0,0
2898,kraken,0,1
2899,knetteren,0,0
2900,wieg,1,0
2901,ambacht,1,0
2902,ambachtsman,1,0
2903,sluw,0,0
2904,craig,0,0
2905,opgepropt,0,0
2906,kramp,0,1
2907,krap,0,1
2908,kraan,0,0
2909,schedel,0,0
2910,zwengel,0,1
2911,humeurig,0,1
2912,onzin,0,1
2913,craps,0,0
2914,neerstorten,0,1
2915,krat,0,0
2916,krater,0,0
2917,snakken,0,0
2918,hunkering,0,0
2919,rivierkreeft,0,0
2920,kruipen,0,1
2921,kleurpotloden,0,0
2922,rage,0,0
2923,krankzinnige,0,1
2924,gek,0,1
2925,krakende,0,1
2926,room,1,0
2927,creamer,0,0
2928,romig,0,0
2929,vouw,0,0
2930,creëren,1,0
2931,schepping,0,0
2932,creatief,1,0
2933,Schepper,0,0
2934,schepsel,0,1
2935,geloof,1,0
2936,geloofsbrief,1,0
2937,geloofsbrieven,0,0
2938,geloofwaardigheid,1,0
2939,geloofwaardig,1,0
2940,credit,1,0
2941,NO TRANSLATION,1,0
2942,gecrediteerd,1,0
2943,creditering,0,0
2944,schuldeiser,0,0
2945,geloofsbelijdenis,0,0
2946,kreek,0,0
2947,kruipen,0,1
2948,serviel,0,0
2949,crematie,0,0
2950,creoolse,0,0
2951,crescendo,1,0
2952,halve maan,0,0
2953,spleet,0,0
2954,bemanning,0,0
2955,ledikant,0,0
2956,krekel,0,0
2957,misdrijf,0,1
2958,crimineel,0,1
2959,criminaliteit,0,1
2960,krimp,0,0
2961,karmozijn,0,0
2962,ineenkrimpen,0,1
2963,verlamde,0,1
2964,verminkt,0,1
2965,crisis,0,1
2966,knapperig,0,1
2967,criterium,0,0
2968,criticus,0,1
2969,kritiek,0,1
2970,bekritiseren,0,1
2971,critiek,1,0
2972,critter,0,0
2973,kwaken,0,0
2974,pot,0,0
2975,aardewerk,0,0
2976,krokodil,0,0
2977,croft,0,0
2978,oplichter,0,1
2979,gewas,0,0
2980,croquet,0,0
2981,kruis,0,1
2982,kruisboog,0,0
2983,gekruiste,0,0
2984,kruispunt,0,0
2985,Kruis,0,0
2986,hurken,0,0
2987,gehurkt,0,0
2988,hurken,0,1
2989,croupier,0,0
2990,kraai,0,0
2991,menigte,0,0
2992,druk,0,0
2993,kroon,0,0
2994,bekroning,1,0
2995,beslissend,1,0
2996,kruisband,0,1
2997,kruisbeeld,0,0
2998,kruisiging,0,1
2999,ruw,0,1
3000,wreed,0,1
3001,wreed,0,1
3002,wreedheid,0,1
3003,reis,0,0
3004,kruiser,0,0
3005,kruimel,0,0
3006,afbrokkelende,0,1
3007,kraken,0,1
3008,kruistocht,0,1
3009,verpletteren,0,0
3010,verpletterd,0,1
3011,breken,0,1
3012,korst,0,0
3013,korstig,0,1
3014,kruk,0,0
3015,moeilijkheid,0,0
3016,huilen,0,1
3017,huilen,0,1
3018,crypt,0,1
3019,raadselachtig,0,0
3020,geheimschrift,0,0
3021,kristal,1,0
3022,kristallijne,0,0
3023,kristallisatie,0,0
3024,welp,0,0
3025,kubus,0,0
3026,cubicle,0,0
3027,hoorndrager,0,1
3028,koekoek,0,1
3029,knuffelen,1,0
3030,keu,0,0
3031,manchet,0,0
3032,keuken,0,0
3033,culinaire,1,0
3034,ruiming,0,1
3035,culmineren,0,0
3036,hoogtepunt,1,0
3037,schuldigheid,0,1
3038,schuldig,0,1
3039,dader,0,1
3040,cultus,0,1
3041,verbouwen,1,0
3042,bewerkt,1,0
3043,teelt,1,0
3044,cultuur,1,0
3045,duiker,0,0
3046,hinderlijk,0,1
3047,stapelwolk,0,0
3048,sluw,1,1
3049,kop,0,0
3050,kast,0,0
3051,cupping,0,1
3052,cur,0,1
3053,uithardbare,1,0
3054,kapelaan,0,0
3055,genezend,0,0
3056,beheerder,0,0
3057,stoeprand,0,0
3058,wrongel,0,0
3059,avondklok,0,0
3060,nieuwsgierigheid,1,0
3061,Krul,1,0
3062,curling,0,0
3063,valuta,0,0
3064,actueel,0,0
3065,leerplan,0,0
3066,kerrie,0,0
3067,vloek,0,1
3068,vervloekt,0,1
3069,gevloek,0,1
3070,vluchtig,0,1
3071,kortaf,0,0
3072,beperken,0,0
3073,inkorting,0,0
3074,gordijn,0,0
3075,kromming,0,0
3076,kromme,0,0
3077,gebogen,0,0
3078,kromlijnig,0,0
3079,kussen,1,0
3080,cusp,0,0
3081,koppig,0,0
3082,bewaarder,0,0
3083,hechtenis,0,0
3084,gewoonte,0,0
3085,gebruikelijk,0,0
3086,klant,1,0
3087,besnoeiing,0,0
3088,huid-,0,0
3089,schattig,1,0
3090,nagelriem,0,0
3091,bestek,0,0
3092,snijder,0,1
3093,cutters,1,0
3094,moordenaar,0,1
3095,snijdend,0,1
3096,stekken,0,0
3097,cwt,0,0
3098,cyanide,0,1
3099,fiets,0,0
3100,cyclische,0,0
3101,fietser,0,0
3102,cycloon,0,1
3103,cilinder,0,0
3104,cilindrisch,0,0
3105,cimbaal,0,0
3106,cynicus,0,0
3107,cyste,0,1
3108,cystic,0,0
3109,cytomegalovirus,0,1
3110,cytoplasma,0,0
3111,tsaar,0,0
3112,schar,0,0
3113,ploeteren,0,0
3114,ploeteren,0,1
3115,pa,0,0
3116,NO TRANSLATION,0,0
3117,demon,0,1
3118,gek,0,1
3119,dolk,0,1
3120,dagelijks,0,0
3121,sierlijk,0,0
3122,zuivel,0,0
3123,NO TRANSLATION,0,0
3124,dal,0,0
3125,dam,0,0
3126,schade,0,1
3127,schadevergoeding,0,1
3128,lady,1,0
3129,vloek,0,1
3130,verdoemenis,0,1
3131,verdoemde,0,1
3132,vochtig,0,0
3133,bevochtigd,0,0
3134,demper,0,1
3135,jonkvrouw,0,0
3136,dans,1,0
3137,danser,0,0
3138,roos,0,1
3139,dandy,0,1
3140,Gevaar,0,1
3141,gevaarlijk,0,1
3142,bengelen,0,0
3143,NO TRANSLATION,0,0
3144,dapper,0,0
3145,durven,0,0
3146,gedurfd,1,0
3147,donker,0,0
3148,verduisteren,0,1
3149,verduisterd,0,1
3150,donker,0,0
3151,duisternis,0,1
3152,schat,1,0
3153,stoppen,0,0
3154,pijl,0,0
3155,scheutje,0,0
3156,dashboard,0,0
3157,gestippelde,0,1
3158,zwierig,1,0
3159,lafhartig,0,1
3160,gegevens,0,0
3161,databank,0,0
3162,datum,0,0
3163,dochter,1,0
3164,dageraad,1,0
3165,dag,0,0
3166,aanbreken van de dag,0,0
3167,dagdromen,0,0
3168,verdoving,0,0
3169,versuft,0,1
3170,schitterende,0,0
3171,diaken,0,0
3172,deactiveren,0,1
3173,impasse,0,1
3174,dodelijk,0,1
3175,doof,0,1
3176,oorverdovend,0,0
3177,doofheid,0,0
3178,transactie,1,0
3179,handelaar,0,0
3180,omgang,0,0
3181,transacties,0,0
3182,decaan,0,0
3183,Geachte,1,0
3184,gebrek,0,0
3185,dood,0,1
3186,debacle,0,1
3187,betwistbaar,0,0
3188,debat,1,0
3189,losbandigheid,0,1
3190,obligatie,0,0
3191,debiteren,0,0
3192,puin,0,1
3193,schuld,0,1
3194,schuldenaar,0,1
3195,debuut,0,0
3196,decennium,0,0
3197,karaf,0,0
3198,verval,0,1
3199,vervald,0,1
3200,overleden,0,1
3201,bedrog,0,1
3202,bedrieglijk,0,1
3203,misleiden,0,1
3204,bedrogen,0,1
3205,bedriegen,0,1
3206,fatsoen,1,0
3207,fatsoenlijk,1,0
3208,bedrog,0,1
3209,bedrieglijk,0,1
3210,beslist,0,0
3211,loof,0,0
3212,decimale,0,0
3213,ontcijferen,0,0
3214,besluit,0,0
3215,beslissend,0,0
3216,dek,0,0
3217,verklaring,0,0
3218,verklarend,1,0
3219,verklaren,0,0
3220,declinatie,0,1
3221,afwijzen,0,1
3222,afnemende,0,1
3223,ontleden,0,0
3224,ontleed,0,0
3225,ontleding,0,1
3226,versieren,0,0
3227,decoratie,0,0
3228,etiquette,0,0
3229,lokvogel,0,0
3230,kleiner worden,0,1
3231,verminderde,0,0
3232,afnemende,0,0
3233,besluit,0,0
3234,decrement,0,1
3235,afgeleefd,0,1
3236,afkeuren,0,1
3237,toewijding,1,0
3238,afleiden,0,0
3239,aftrekken,0,1
3240,aftrek,0,0
3241,daad,0,0
3242,verdiepen,0,0
3243,hert,0,0
3244,laster,0,1
3245,lasterlijk,0,1
3246,standaard,0,1
3247,nederlaag,0,1
3248,verslagen,0,1
3249,defect,0,1
3250,NO TRANSLATION,0,1
3251,defecte,0,1
3252,verdedigen,1,0
3253,verweerder,0,0
3254,verdedigde,1,0
3255,verdediger,1,0
3256,verdedigen,1,0
3257,verdediging,1,0
3258,weerloos,0,1
3259,verdedigbaar,0,0
3260,defensief,0,0
3261,uitstellen,0,0
3262,eerbied,1,0
3263,uitstel,0,1
3264,het uitstellen,0,0
3265,tarting,0,1
3266,uitdagend,0,1
3267,tekort,0,1
3268,tekort,0,1
3269,bepalen,0,0
3270,bepaald,0,0
3271,definitie,0,0
3272,definitief,1,0
3273,deflatie veroorzaken,0,1
3274,deflatie,0,1
3275,buigen,0,0
3276,afbuiging,0,0
3277,ontnemeheid kuisheid,0,0
3278,vervormen,0,1
3279,misvormd,0,1
3280,mismaaktheid,0,1
3281,bedriegen,0,1
3282,bekostigen,0,0
3283,handig,0,0
3284,overledene,0,1
3285,trotseren,0,1
3286,degeneratie,0,1
3287,ontaarden,0,1
3288,ontaarding,0,0
3289,vermindering,0,1
3290,degraderen,0,1
3291,onterende,0,1
3292,mate,1,0
3293,uitgedroogd,0,0
3294,vertraging,0,1
3295,vertraagd,0,1
3296,verrukkelijk,1,0
3297,delegeren,1,0
3298,delegatie,0,0
3299,schadelijk,0,1
3300,verwijdering,0,1
3301,beraadslagen,1,0
3302,beraadslaging,0,0
3303,NO TRANSLATION,0,0
3304,lekkernij,0,0
3305,heerlijk,1,0
3306,genot,1,0
3307,verrukt,1,0
3308,verrukkelijk,1,0
3309,schetsen,0,0
3310,schets,0,0
3311,delinquentie,0,1
3312,delinquent,0,1
3313,ijlend,0,1
3314,delirium,0,1
3315,verlossing,1,0
3316,levering,1,0
3317,dal,0,0
3318,delta,0,0
3319,zondvloed,0,1
3320,waan,0,1
3321,waanvoorstellingen,0,1
3322,delven,0,0
3323,vraag naar,0,1
3324,veeleisende,0,1
3325,gedrag,0,0
3326,krankzinnig,0,1
3327,zwakzinnigheid,0,1
3328,overlijden,0,1
3329,democratie,1,0
3330,democraat,0,0
3331,slopen,0,1
3332,sloop,0,1
3333,demon,0,1
3334,demonisch,0,1
3335,bewijsbaar,1,0
3336,demonstreren,0,0
3337,gedemonstreerd,0,0
3338,demonstrating,0,0
3339,demonstratie,0,0
3340,aanwijzend,1,0
3341,betoger,0,0
3342,gedemoraliseerd,0,1
3343,demos,0,0
3344,NO TRANSLATION,0,0
3345,ontkenning,0,1
3346,ontkend,0,1
3347,benaming,0,0
3348,confessioneel,0,0
3349,noemer,0,0
3350,aanduiden,0,0
3351,opzeggen,0,1
3352,dicht,0,0
3353,dichtheid,0,0
3354,deuk,0,0
3355,tandheelkunde,0,0
3356,aanklacht,0,1
3357,ontkennen,0,1
3358,ontkennen,0,1
3359,deodorant,0,0
3360,vertrekken,0,0
3361,overleden,0,1
3362,afdeling,0,0
3363,vertrek,0,1
3364,afhangen,0,0
3365,afhankelijk,0,0
3366,afhankelijkheid,0,1
3367,afhankelijkheid,0,1
3368,afhankelijk,1,1
3369,verbeelden,0,0
3370,beeltenis,0,0
3371,uitputting,0,0
3372,betreurenswaardig,0,1
3373,betreuren,0,1
3374,inzetten,0,0
3375,deporteren,0,1
3376,deportatie,0,1
3377,storting,0,0
3378,bewaarder,0,0
3379,afzetting,0,0
3380,bewaarplaats,0,0
3381,depot,0,0
3382,verdorven,0,1
3383,verdorvenheid,0,1
3384,depreciëren,0,1
3385,afgeschreven,0,1
3386,waardevermindering,0,1
3387,deprimeren,0,1
3388,terneergeslagen,0,1
3389,deprimerend,0,1
3390,depressie,0,1
3391,depressieve,0,1
3392,beroving,0,1
3393,diepte,1,0
3394,plaatsvervanger,0,0
3395,doen ontsporen,0,0
3396,zinneloos,0,1
3397,verlaten,0,1
3398,spot,0,1
3399,afleiding,0,0
3400,derivaat,0,0
3401,afleiden,0,0
3402,huid-,0,0
3403,dermatologist,0,0
3404,dermatologie,0,0
3405,afbreuk,0,1
3406,denigrerende,0,1
3407,neerdalen,0,0
3408,afstammeling,0,0
3409,NO TRANSLATION,0,0
3410,aflopend,0,0
3411,afdaling,0,0
3412,beschrijven,0,0
3413,Beschrijving,0,0
3414,beschrijvend,1,0
3415,ontheiliging,0,1
3416,woestijn,0,1
3417,uitgestorven,0,1
3418,desertie,0,1
3419,verdienen,1,0
3420,verdienden,1,0
3421,verdienstelijk,0,0
3422,ontwerp,0,0
3423,aanwijzen,0,0
3424,aanwijzing,0,0
3425,ontworpen,0,0
3426,ontwerper,1,0
3427,ontwerpen,0,0
3428,wenselijkheid,0,0
3429,wenselijk,1,0
3430,verlangen,1,0
3431,verlangend,1,0
3432,ophouden,0,1
3433,bureau,0,0
3434,verwoesting,0,1
3435,wanhoop,0,1
3436,wanhopig,0,1
3437,verzending,0,0
3438,ten einde raad,0,1
3439,wanhoop,0,0
3440,verachtelijk,0,1
3441,NO TRANSLATION,0,1
3442,despotisch,0,1
3443,despotisme,0,1
3444,nagerecht,0,0
3445,bestemming,1,0
3446,voorbestemd,0,0
3447,lotsbestemming,0,0
3448,ontbloot,0,1
3449,vernietigd,0,1
3450,torpedojager,0,1
3451,vernietigen,0,1
3452,verwoesting,0,1
3453,vernietigend,0,1
3454,losmaken,0,0
3455,vrijstaande,0,0
3456,detachement,0,1
3457,detail-,0,0
3458,gegevens,0,0
3459,detineren,0,1
3460,gedetineerde,0,1
3461,opsporen,1,0
3462,detecteerbaar,0,0
3463,opsporing,1,0
3464,detective,0,0
3465,detector,0,0
3466,hechtenis,0,1
3467,afschrikken,0,0
3468,wasmiddel,0,0
3469,achteruitgaan,0,1
3470,verslechterd,0,1
3471,verslechtering,0,1
3472,bepaalbaar,0,0
3473,NO TRANSLATION,0,0
3474,bepaling,1,0
3475,vastbesloten,1,0
3476,verafschuwen,0,1
3477,ontploffen,0,1
3478,ontploffing,0,0
3479,Omleiding,0,0
3480,afbreuk doen aan,0,1
3481,schade,0,1
3482,schadelijk,0,1
3483,detritus,0,1
3484,drommel,0,0
3485,verwoesten,0,1
3486,verwoestende,0,1
3487,verwoesting,0,1
3488,ontwikkelen,1,0
3489,ontwikkelen,0,0
3490,ontwikkeling,0,0
3491,afwijken,0,0
3492,afwijkende,0,0
3493,afwijking,0,0
3494,apparaat,0,0
3495,duivel,0,1
3496,duivels,0,1
3497,omslachtig,0,1
3498,bedenken,0,0
3499,verstoken,0,0
3500,devolutie,0,1
3501,overgaan,0,0
3502,wijden,0,0
3503,aanbidder,0,0
3504,stichtelijk,1,0
3505,verslinden,0,1
3506,vroom,1,0
3507,dauw,0,0
3508,rechts,0,0
3509,behendigheid,1,0
3510,dextrose,0,0
3511,duivels,0,1
3512,diagnose,0,1
3513,diagnostisch,0,0
3514,diagnostiek,0,0
3515,diagram,0,0
3516,wijzerplaat,0,0
3517,tongval,0,0
3518,dialektiek,0,0
3519,dialoog,0,0
3520,diameter,0,0
3521,diamant,1,0
3522,ruiten,0,0
3523,luier,0,0
3524,diafragma,0,0
3525,diarree,0,0
3526,dagboek,1,0
3527,schimprede,0,1
3528,Dobbelsteen,0,0
3529,dichotomous,0,0
3530,dichotomie,0,0
3531,dicteren,0,0
3532,dictee,0,0
3533,dictator,0,1
3534,dictatoriaal,0,1
3535,dictatuur,0,1
3536,dictie,0,0
3537,woordenboek,1,0
3538,NO TRANSLATION,0,0
3539,didactisch,1,0
3540,NO TRANSLATION,0,1
3541,dieet,0,0
3542,dieet-,1,0
3543,verschillen,0,0
3544,verschil,0,0
3545,verschillen,0,0
3546,differentiaal,0,0
3547,differentiatie,0,0
3548,anders,0,0
3549,verschillende,0,0
3550,moeilijk,0,0
3551,moeilijkheden,0,1
3552,moeilijkheid,0,1
3553,diffuus,0,0
3554,verspreiding,0,0
3555,NO TRANSLATION,0,0
3556,verteren,0,0
3557,spijsvertering,0,0
3558,cijfer,0,0
3559,waardig,1,0
3560,waardigheid,1,0
3561,afdwalen,0,1
3562,graaft,0,0
3563,dijk,0,0
3564,vervallen,0,1
3565,verwijding,0,0
3566,dilatatie,0,0
3567,dilemma,0,0
3568,ijver,1,0
3569,ijverig,0,0
3570,oplosmiddel,0,0
3571,verdund,0,1
3572,verdund,0,0
3573,verdunning,0,0
3574,dubbeltje,0,0
3575,dimensie,0,0
3576,verminderen,0,1
3577,verminderde,0,1
3578,vermindering,0,0
3579,verkleinwoord,0,0
3580,NO TRANSLATION,0,1
3581,dineren,0,0
3582,diner,0,0
3583,avondeten,1,0
3584,dinosaurus,0,0
3585,NO TRANSLATION,0,0
3586,diocesane,0,0
3587,bisdom,0,0
3588,diorama,0,0
3589,onderdompeling,0,0
3590,diploma,0,0
3591,diplomatie,1,0
3592,diplomaat,0,0
3593,diplomatisch,1,0
3594,NO TRANSLATION,0,1
3595,gerichte,0,0
3596,richting,0,0
3597,direct,0,0
3598,regisseur,1,0
3599,directory,0,0
3600,vuil,0,1
3601,vuil,0,1
3602,onbekwaamheid,0,1
3603,onbruikbaar maken,0,1
3604,invalide,0,1
3605,nadeel,0,0
3606,ontevreden,0,1
3607,het oneens zijn,0,1
3608,onaangenaam,0,0
3609,oneens,0,1
3610,meningsverschil,0,1
3611,weigeren,0,0
3612,afgekeurd,0,1
3613,verdwijnen,0,0
3614,verdwijning,0,0
3615,verdwijnen,0,0
3616,teleurstellen,0,1
3617,teleurgesteld,0,1
3618,teleurstellend,0,1
3619,teleurstelling,0,1
3620,afkeuring,0,1
3621,afkeuren,0,1
3622,afgekeurd,0,1
3623,afkeurend,0,1
3624,ontwapenen,0,0
3625,wanorde,0,0
3626,ramp,0,1
3627,noodlottig,0,1
3628,ontbinden,0,0
3629,ongeloof,0,0
3630,niet geloven,0,1
3631,betalen,0,0
3632,uitgave,0,0
3633,schijf,0,0
3634,weggegooid,0,0
3635,teruggooi,0,1
3636,onderscheiden,0,0
3637,waarneembaar,0,0
3638,veeleisende,0,0
3639,onderscheidingsvermogen,0,0
3640,ontlading,0,1
3641,discipel,0,0
3642,discipline,0,1
3643,afwijzen,0,1
3644,ontkenning,0,0
3645,openbaren,0,0
3646,bekendgemaakt,0,0
3647,openbaring,0,0
3648,verkleuring,0,1
3649,verkleurde,0,1
3650,ongemak,0,1
3651,Loskoppelen,0,1
3652,losgekoppeld,0,1
3653,ontkoppeling,0,1
3654,ontevredenheid,0,1
3655,staking,0,0
3656,staken,0,1
3657,discontinuïteit,0,1
3658,onderbreking,0,0
3659,onenigheid,0,1
3660,korting,0,0
3661,verdisconteerd,0,0
3662,ontmoedigen,0,1
3663,ontmoedigd,0,0
3664,ontmoediging,0,1
3665,redevoering,0,0
3666,ontdekken,0,0
3667,ontdekking,1,0
3668,diskrediet,0,1
3669,NO TRANSLATION,1,0
3670,tegenstrijdigheid,0,0
3671,discreet,0,0
3672,goeddunken,1,0
3673,discretionaire,1,0
3674,onderscheiden,0,1
3675,onderscheid,0,1
3676,discriminatie,0,1
3677,discus,0,0
3678,bespreken,0,0
3679,discussie,1,0
3680,minachting,0,1
3681,ziekte,0,1
3682,ziek,0,1
3683,losgemaakt,0,1
3684,losmaken,0,0
3685,ontkoppeling,0,1
3686,bedorven,0,1
3687,schande,0,1
3688,NO TRANSLATION,0,1
3689,schandelijk,0,1
3690,ontevreden,0,1
3691,vermomming,0,0
3692,verkapt,0,0
3693,walg,0,1
3694,walgelijk,0,1
3695,schotel,0,0
3696,ontmoedigd,0,1
3697,ontmoedigend,0,1
3698,oneerlijk,0,1
3699,oneerlijkheid,0,1
3700,onteren,0,1
3701,ontgoocheling,0,1
3702,desinfecteren,0,0
3703,ontsmettingsmiddel,0,0
3704,ontsmetting,1,0
3705,disinformatie,0,1
3706,onoprecht,0,1
3707,uit elkaar vallen,0,1
3708,ontbinding,0,1
3709,belangeloos,0,1
3710,uit elkaar nemen,0,0
3711,onsamenhangend,0,0
3712,gescheidenheid,0,0
3713,schijf,0,0
3714,diskette,0,0
3715,afkeer,0,1
3716,hekel,0,1
3717,uit de kom,0,1
3718,ontwrichting,0,0
3719,verjagen,0,0
3720,somber,0,1
3721,ontzetting,0,1
3722,verbrokkeling,0,1
3723,ontslaan,0,0
3724,ontslag,0,1
3725,afstijgen,0,0
3726,ongehoorzaamheid,0,1
3727,ongehoorzaam,0,1
3728,niet gehoorzamen,0,1
3729,wanorde,0,1
3730,wanordelijk,0,1
3731,ongeorganiseerd,0,1
3732,geringschatten,0,1
3733,minachtend,0,1
3734,ongelijksoortig,0,0
3735,ongelijkheid,0,1
3736,kalm,0,1
3737,verzending,0,0
3738,verdrijven,0,1
3739,dispensatie,0,0
3740,uitdelen,0,0
3741,verspreiden,0,0
3742,verspreid,0,0
3743,spreiding,0,1
3744,verdringen,0,1
3745,verplaatste,0,0
3746,verplaatsing,0,0
3747,tonen,0,0
3748,niet tevreden,0,1
3749,misnoegen,0,1
3750,beschikking,0,1
3751,vervreemden,0,0
3752,geneigd,1,0
3753,aanleg,0,0
3754,onteigend,0,1
3755,weerleggen,0,0
3756,geschil,0,1
3757,diskwalificatie,0,1
3758,gediskwalificeerd,0,1
3759,diskwalificeren,0,1
3760,buiten beschouwing laten,0,1
3761,buiten beschouwing,0,1
3762,berucht,0,1
3763,schande,0,0
3764,oneerbiedigheid,0,1
3765,oneerbiedig,0,1
3766,ontwrichting,0,1
3767,ontevredenheid,0,1
3768,ontevreden,0,0
3769,ontleden,0,0
3770,ontleding,0,0
3771,verspreiden,1,0
3772,verspreiding,0,0
3773,tweedracht,0,1
3774,van mening,0,0
3775,dissenting,0,1
3776,proefschrift,0,0
3777,ondienst,0,1
3778,dissident,0,1
3779,ongelijk,0,0
3780,verdrijven,0,0
3781,gedissipeerd,0,0
3782,dissociatie,0,0
3783,ontbinding,0,1
3784,ontbinden,0,0
3785,dissonant,0,1
3786,afraden,0,0
3787,distale,0,0
3788,afstand,0,0
3789,afgelegen,0,0
3790,afkeer,0,1
3791,onsmakelijk,0,1
3792,destillaat,0,0
3793,distillatie,1,0
3794,onderscheid,1,0
3795,kenmerkend,0,0
3796,onderscheiden,0,0
3797,te onderscheiden,0,0
3798,voornaam,0,0
3799,onderscheidende,0,0
3800,vervormd,0,1
3801,vervorming,0,1
3802,afleiden,0,1
3803,afgeleid,0,1
3804,afleidende,0,1
3805,afleiding,0,1
3806,radeloos,0,1
3807,nood,0,1
3808,distressed,0,1
3809,schrijnende,0,1
3810,verdelen,0,0
3811,distributie,0,0
3812,wijk,0,0
3813,wantrouwen,0,1
3814,verstoring,0,1
3815,verstoord,0,1
3816,onbruik,0,1
3817,onbruik geraakte,0,1
3818,greppel,0,0
3819,idem dito,0,0
3820,liedje,1,0
3821,dag-,0,0
3822,NO TRANSLATION,0,0
3823,duiken,0,0
3824,duiker,0,0
3825,afwijken,0,0
3826,afwijking,0,0
3827,afwijkend,0,1
3828,divergerende,0,0
3829,verschillend,0,0
3830,verschillend,1,1
3831,afwisselend,1,0
3832,diversifiëren,0,0
3833,afleidingsmanoeuvre,1,0
3834,verscheidenheid,0,0
3835,afleiden,0,0
3836,omleiden,0,0
3837,ontnemen,0,0
3838,afgestoten,0,1
3839,desinvestering,0,1
3840,verdelen,0,0
3841,verdeeld,0,0
3842,dividend,0,0
3843,waarzeggerij,0,0
3844,goddelijk,0,0
3845,goddelijkheid,1,0
3846,deelbaar,0,0
3847,afdeling,0,0
3848,deler,0,0
3849,scheiden,0,1
3850,onthullen,0,0
3851,duizeligheid,0,1
3852,duizelig,0,1
3853,volgzaam,0,0
3854,dok,0,0
3855,aangemeerd,0,1
3856,borderel,0,0
3857,doctor,1,0
3858,leerstellig,0,0
3859,leer,0,0
3860,document,0,0
3861,documentaire,0,0
3862,ontwijken,0,0
3863,ontwijken,0,0
3864,hinde,0,0
3865,dader,1,0
3866,hond,0,0
3867,vasthoudend,1,0
3868,dogma,0,0
3869,dogmatisch,0,0
3870,doen en laten,0,0
3871,NO TRANSLATION,0,1
3872,doldrums,0,1
3873,uitkering,0,1
3874,pop,0,0
3875,dollar,0,0
3876,NO TRANSLATION,0,1
3877,dolfijn,1,0
3878,domein,0,0
3879,koepel,0,0
3880,huiselijk,0,0
3881,huis-,0,0
3882,temming,0,0
3883,woonplaats,0,0
3884,woonachtig,0,0
3885,overheersing,0,0
3886,dominant,0,1
3887,heersen,1,1
3888,dominerende,0,0
3889,overheersing,0,1
3890,heerschappij,0,0
3891,domino,0,0
3892,don,1,0
3893,schenking,1,0
3894,ezel,0,1
3895,schenker,0,0
3896,tekening,0,1
3897,noodlot,0,1
3898,verdoemde,0,1
3899,dag des oordeels,0,1
3900,deur-,0,0
3901,deurbel,0,0
3902,deuropening,0,0
3903,slapend,0,0
3904,slaapzaal,0,0
3905,dorsal,0,0
3906,dosis,0,0
3907,punt,0,0
3908,dubbele,0,0
3909,verdubbelde,0,0
3910,doublet,0,0
3911,verdubbeling,0,0
3912,twijfel,0,1
3913,twijfelachtig,0,1
3914,twijfelende,0,1
3915,ongetwijfeld,1,0
3916,douche,0,1
3917,deeg,0,0
3918,donut,0,0
3919,streng,0,1
3920,duif,1,0
3921,neerslachtig,0,0
3922,val,0,1
3923,bergafwaarts,0,0
3924,stortbui,0,0
3925,ronduit,0,0
3926,donsachtig,1,0
3927,bruidschat,0,0
3928,dommelen,0,0
3929,dozijn,0,0
3930,saai,0,1
3931,droogte,0,0
3932,slepen,0,0
3933,draak,0,0
3934,draineren,0,0
3935,riolering,0,1
3936,gedraineerd,0,0
3937,mannetjeseend,0,0
3938,drama,0,0
3939,dramatisch,0,0
3940,draperen,0,0
3941,draperie,0,0
3942,drastisch,0,0
3943,droogte,0,0
3944,trek,0,0
3945,nadeel,0,1
3946,lade,0,0
3947,onderbroek,0,0
3948,tekening,0,0
3949,vrezen,0,1
3950,vreselijk,0,1
3951,vreselijk,0,1
3952,droom,0,0
3953,dromer,0,0
3954,dromen,0,0
3955,dromerig,0,0
3956,somber,0,1
3957,baggermachine,0,0
3958,doorweekt,0,0
3959,dressoir,0,0
3960,NO TRANSLATION,0,0
3961,droog,0,0
3962,NO TRANSLATION,0,0
3963,drift,0,0
3964,dreef,0,0
3965,boren,0,0
3966,drinken,0,0
3967,drinken,0,1
3968,druppelen,0,0
3969,druipen,0,0
3970,gewauwel,0,1
3971,bestuurder,0,0
3972,pad,0,0
3973,motregen,0,0
3974,koddig,0,0
3975,dar,0,1
3976,kwijlen,0,0
3977,hangende,0,1
3978,laten vallen,0,0
3979,druppel,0,0
3980,droogte,0,1
3981,NO TRANSLATION,0,0
3982,verdrinken,0,1
3983,slaperigheid,0,1
3984,slaperig,0,0
3985,gezwoeg,0,1
3986,drug,0,0
3987,gedrogeerd,0,0
3988,apotheek,0,0
3989,druïde,0,0
3990,trommel,0,0
3991,trommelaar,0,0
3992,drummen,0,0
3993,dronken,0,1
3994,dronkenschap,0,1
3995,droog,0,0
3996,droogheid,0,0
3997,tweevoudig,0,0
3998,dualisme,0,0
3999,tweevoudigheid,0,0
4000,dub,0,0
4001,twijfelachtig,0,1
